date,hour,category,team1,team2,number of goals team1,number of goals team2,possession team1,possession team2,total attempts team1,total attempts team2,on target attempts team1,on target attempts team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,passes team1,passes team2,crosses team1,crosses team2,total goals per match,match result
2022-11-23,17:00:00,Group E,SPAIN,COSTA RICA,7,0,74%,17%,17,0,7,0,0,2,0,0,8,12,1061,231,17,5,7,SPAIN 7 x 0 COSTA RICA
2022-11-23,20:00:00,Group F,BELGIUM,CANADA,1,0,46%,43%,9,21,3,4,3,2,0,0,11,14,512,448,8,19,1,BELGIUM 1 x 0 CANADA
2022-11-24,11:00:00,Group G,SWITZERLAND,CAMEROON,1,0,43%,46%,8,7,3,3,2,1,0,0,12,10,497,500,28,20,1,SWITZERLAND 1 x 0 CAMEROON
2022-11-24,14:00:00,Group H,URUGUAY,KOREA REPUBLIC,0,0,49%,38%,10,6,0,0,1,1,0,0,7,10,528,419,16,19,0,URUGUAY 0 x 0 KOREA REPUBLIC
2022-11-24,17:00:00,Group H,PORTUGAL,GHANA,3,2,55%,35%,11,8,5,3,2,4,0,0,14,19,636,394,17,12,5,PORTUGAL 3 x 2 GHANA
2022-11-24,20:00:00,Group G,BRAZIL,SERBIA,2,0,53%,34%,24,4,10,0,0,3,0,0,7,12,585,403,19,13,2,BRAZIL 2 x 0 SERBIA
2022-11-25,11:00:00,Group B,WALES,IRAN,0,2,51%,33%,10,21,3,6,1,2,1,0,9,10,508,295,20,26,2,WALES 0 x 2 IRAN
2022-11-25,14:00:00,Group A,QATAR,SENEGAL,1,3,42%,48%,10,12,2,4,3,3,0,0,7,12,424,511,18,20,4,QATAR 1 x 3 SENEGAL
2022-11-25,17:00:00,Group A,NETHERLANDS,ECUADOR,1,1,48%,39%,2,13,1,5,0,1,0,0,15,12,524,425,8,22,2,NETHERLANDS 1 x 1 ECUADOR
2022-11-25,20:00:00,Group B,ENGLAND,UNITED STATES,0,0,51%,40%,8,10,3,2,0,0,0,0,9,15,550,427,13,16,0,ENGLAND 0 x 0 UNITED STATES
2022-11-26,11:00:00,Group D,TUNISIA,AUSTRALIA,0,1,50%,31%,13,8,4,2,3,0,0,0,16,15,501,334,23,23,1,TUNISIA 0 x 1 AUSTRALIA
2022-11-26,14:00:00,Group C,POLAND,SAUDI ARABIA,2,0,30%,57%,8,16,3,5,3,2,0,0,18,15,303,560,19,24,2,POLAND 2 x 0 SAUDI ARABIA
2022-11-26,17:00:00,Group D,FRANCE,DENMARK,2,1,44%,44%,21,10,6,2,1,2,0,0,4,9,503,537,23,18,3,FRANCE 2 x 1 DENMARK
2022-11-26,20:00:00,Group C,ARGENTINA,MEXICO,2,0,50%,36%,5,4,2,1,1,4,0,0,15,19,533,356,14,17,2,ARGENTINA 2 x 0 MEXICO
2022-11-27,11:00:00,Group E,JAPAN,COSTA RICA,0,1,48%,39%,14,4,3,1,3,3,0,0,22,9,575,444,17,5,1,JAPAN 0 x 1 COSTA RICA
2022-11-27,14:00:00,Group F,BELGIUM,MOROCCO,0,2,56%,32%,10,11,4,4,1,1,0,0,10,14,671,317,19,9,2,BELGIUM 0 x 2 MOROCCO
2022-11-27,17:00:00,Group F,CROATIA,CANADA,4,1,41%,46%,13,9,10,2,2,2,0,0,13,5,462,511,22,15,5,CROATIA 4 x 1 CANADA
2022-11-27,20:00:00,Group E,SPAIN,GERMANY,1,1,56%,33%,7,10,3,4,1,3,0,0,13,11,647,352,9,13,2,SPAIN 1 x 1 GERMANY
2022-11-28,11:00:00,Group G,CAMEROON,SERBIA,3,3,38%,49%,13,16,8,6,2,2,0,0,8,13,364,513,20,23,6,CAMEROON 3 x 3 SERBIA
2022-11-28,14:00:00,Group H,KOREA REPUBLIC,GHANA,2,3,53%,32%,21,8,6,3,2,2,0,0,13,9,540,319,46,13,5,KOREA REPUBLIC 2 x 3 GHANA
2022-11-28,17:00:00,Group G,BRAZIL,SWITZERLAND,1,0,51%,40%,9,4,5,0,1,1,0,0,10,17,565,488,26,11,1,BRAZIL 1 x 0 SWITZERLAND
2022-11-28,20:00:00,Group H,PORTUGAL,URUGUAY,2,0,53%,35%,14,10,4,3,3,2,0,0,10,16,596,390,16,18,2,PORTUGAL 2 x 0 URUGUAY
2022-11-29,16:00:00,Group A,NETHERLANDS,QATAR,2,0,54%,38%,13,6,4,4,1,0,0,0,19,9,795,459,11,16,2,NETHERLANDS 2 x 0 QATAR
2022-11-29,16:00:00,Group A,ECUADOR,SENEGAL,1,2,51%,32%,8,15,4,5,0,1,0,0,23,11,432,269,19,20,3,ECUADOR 1 x 2 SENEGAL
2022-11-29,20:00:00,Group B,WALES,ENGLAND,0,3,33%,58%,7,17,1,7,2,0,0,0,16,9,325,588,4,17,3,WALES 0 x 3 ENGLAND
2022-11-29,20:00:00,Group B,IRAN,UNITED STATES,0,1,42%,45%,6,12,2,5,3,1,0,0,13,10,463,470,18,22,1,IRAN 0 x 1 UNITED STATES
2022-11-30,16:00:00,Group D,AUSTRALIA,DENMARK,1,0,24%,60%,8,14,4,3,2,1,0,0,11,10,286,650,11,32,1,AUSTRALIA 1 x 0 DENMARK
2022-11-30,16:00:00,Group D,TUNISIA,FRANCE,1,0,30%,56%,5,9,3,3,1,0,0,0,14,6,328,636,27,20,1,TUNISIA 1 x 0 FRANCE
2022-11-30,20:00:00,Group C,POLAND,ARGENTINA,0,2,24%,67%,4,25,0,13,1,1,0,0,6,11,321,862,5,22,2,POLAND 0 x 2 ARGENTINA
2022-11-30,20:00:00,Group C,SAUDI ARABIA,MEXICO,1,2,29%,55%,10,25,2,10,6,1,0,0,20,18,297,412,9,34,3,SAUDI ARABIA 1 x 2 MEXICO
2022-12-01,16:00:00,Group F,CROATIA,BELGIUM,0,0,43%,47%,11,15,4,4,0,1,0,0,7,9,578,596,24,24,0,CROATIA 0 x 0 BELGIUM
2022-12-01,16:00:00,Group F,CANADA,MOROCCO,1,2,52%,36%,5,7,0,2,4,0,0,0,14,14,539,384,20,7,3,CANADA 1 x 2 MOROCCO
2022-12-01,20:00:00,Group E,JAPAN,SPAIN,2,1,14%,78%,6,14,3,5,3,0,0,0,9,6,225,1070,6,20,3,JAPAN 2 x 1 SPAIN
2022-12-01,20:00:00,Group E,COSTA RICA,GERMANY,2,4,27%,60%,8,32,6,11,1,0,0,0,3,9,347,727,12,38,6,COSTA RICA 2 x 4 GERMANY
2022-12-02,16:00:00,Group H,GHANA,URUGUAY,0,2,46%,39%,9,12,4,7,2,5,0,0,18,11,460,446,20,15,2,GHANA 0 x 2 URUGUAY
2022-12-02,16:00:00,Group H,KOREA REPUBLIC,PORTUGAL,2,1,34%,55%,12,12,6,4,2,0,0,0,9,11,359,606,13,22,3,KOREA REPUBLIC 2 x 1 PORTUGAL
2022-12-02,20:00:00,Group G,SERBIA,SWITZERLAND,2,3,45%,41%,11,14,4,7,7,4,0,0,18,13,476,403,23,13,5,SERBIA 2 x 3 SWITZERLAND
2022-12-02,20:00:00,Group G,CAMEROON,BRAZIL,1,0,31%,56%,7,19,3,6,5,2,1,0,14,14,295,548,12,28,1,CAMEROON 1 x 0 BRAZIL
2022-12-03,16:00:00,Round of 16,NETHERLANDS,UNITED STATES,3,1,33%,54%,11,18,6,7,2,0,0,0,10,5,396,567,13,27,4,NETHERLANDS 3 x 1 UNITED STATES
2022-12-03,20:00:00,Round of 16,ARGENTINA,AUSTRALIA,2,1,53%,35%,14,5,5,2,0,2,0,0,8,15,711,450,6,15,3,ARGENTINA 2 x 1 AUSTRALIA
2022-12-04,16:00:00,Round of 16,FRANCE,POLAND,3,1,48%,42%,16,11,7,3,1,2,0,0,10,8,540,466,27,18,4,FRANCE 3 x 1 POLAND
2022-12-04,20:00:00,Round of 16,ENGLAND,SENEGAL,3,0,54%,35%,8,10,4,2,0,1,0,0,16,12,597,393,19,13,3,ENGLAND 3 x 0 SENEGAL
2022-12-05,16:00:00,Round of 16,JAPAN,CROATIA,1,1,35%,51%,12,16,4,4,0,2,0,0,13,16,532,735,28,35,2,JAPAN 1 x 1 CROATIA
2022-12-05,20:00:00,Round of 16,BRAZIL,KOREA REPUBLIC,4,1,47%,44%,18,10,9,6,0,1,0,0,8,13,616,548,18,14,5,BRAZIL 4 x 1 KOREA REPUBLIC
2022-12-06,16:00:00,Round of 16,MOROCCO,SPAIN,0,0,22%,68%,6,13,3,1,1,1,0,0,15,14,323,1041,10,27,0,MOROCCO 0 x 0 SPAIN
2022-12-06,20:00:00,Round of 16,PORTUGAL,SWITZERLAND,6,1,43%,48%,14,10,9,1,0,2,0,0,12,10,461,512,14,15,7,PORTUGAL 6 x 1 SWITZERLAND
2022-12-09,16:00:00,Quarter-final,CROATIA,BRAZIL,1,1,45%,45%,9,20,1,11,2,3,0,0,22,24,715,695,22,25,2,CROATIA 1 x 1 BRAZIL
2022-12-09,20:00:00,Quarter-final,NETHERLANDS,ARGENTINA,2,2,45%,44%,5,15,2,6,8,8,1,0,30,18,651,603,22,16,4,NETHERLANDS 2 x 2 ARGENTINA
2022-12-10,16:00:00,Quarter-final,MOROCCO,PORTUGAL,1,0,22%,65%,9,11,3,3,3,1,1,0,15,9,229,678,8,33,1,MOROCCO 1 x 0 PORTUGAL
2022-12-10,20:00:00,Quarter-final,ENGLAND,FRANCE,1,2,54%,36%,14,9,6,5,1,3,0,0,10,14,508,369,22,13,3,ENGLAND 1 x 2 FRANCE
2022-12-13,20:00:00,Semi-final,ARGENTINA,CROATIA,3,0,34%,54%,10,12,7,3,2,2,0,0,15,8,408,624,8,20,3,ARGENTINA 3 x 0 CROATIA
2022-12-14,20:00:00,Semi-final,FRANCE,MOROCCO,2,0,34%,55%,14,13,2,1,0,1,0,0,11,11,358,583,5,22,2,FRANCE 2 x 0 MOROCCO
2022-12-17,16:00:00,Play-off for third place,CROATIA,MOROCCO,2,1,45%,45%,14,7,4,2,0,2,0,0,13,11,491,494,21,20,3,CROATIA 2 x 1 MOROCCO
2022-12-18,16:00:00,Final,ARGENTINA,FRANCE,3,3,46%,40%,21,10,9,5,4,3,0,0,26,19,648,516,20,24,6,ARGENTINA 3 x 3 FRANCE
